groundtruth,dist_orig,dist_noisy,robustness_score
1.0,0.011002023,0.17769365,0.8417496
1.0,0.029393896,1.02257,0.74419326
1.0,0.050305568,0.83209544,0.59745264
1.0,0.03186906,0.36355484,0.90064716
1.0,0.009313291,0.37044275,0.862691
1.0,0.008658412,0.52757627,0.6988359
1.0,0.018745985,0.67796916,0.48225856
1.0,0.03551484,0.35993022,0.7993618
1.0,0.016882198,0.3318599,0.892418
1.0,0.025888752,0.47630695,0.5988704
1.0,0.023350053,0.3110934,0.7402233
1.0,0.34239778,0.435083,0.465233
1.0,0.029682506,0.63304526,0.7204274
1.0,0.09654861,0.21329603,0.9593382
1.0,0.010803879,0.81532127,0.6325959
1.0,0.024713527,0.51638055,0.71382785
1.0,0.030011754,0.5476547,0.78523797
1.0,0.024395349,1.0352798,0.6376825
1.0,0.021889174,0.3823476,0.7435119
1.0,0.020596301,0.79306626,0.53882605
1.0,0.014340294,0.21818197,0.8840639
1.0,0.039850984,0.5554978,0.8013521
1.0,0.030721383,0.5721239,0.6710527
1.0,0.01865801,0.45077464,0.7731969
1.0,0.12701705,1.0775692,0.48329988
1.0,0.021217747,0.81902003,0.6900915
1.0,0.040758003,0.5040377,0.78256536
1.0,0.01896153,0.3036679,0.76460946
1.0,0.019321369,0.53691816,0.8590147
1.0,0.0129662035,0.34401923,0.89528716
1.0,0.043221198,0.22505237,0.7885047
1.0,0.029232958,0.21314622,0.6973134
1.0,0.07255022,0.66187054,0.30410188
1.0,0.061415642,0.8738923,0.58813083
1.0,0.012008127,0.36629474,0.4196061
1.0,0.04366359,0.5754175,0.76686263
1.0,0.034288768,0.67261326,0.6442086
1.0,0.042322475,0.5573768,0.4245085
1.0,0.010303087,0.22831193,0.8645386
1.0,0.024713533,0.6855142,0.8130783
1.0,0.1339238,0.6128215,0.43312266
1.0,0.027448677,0.19907026,0.89317894
1.0,0.029697336,0.2705465,0.9049964
1.0,0.012195053,0.4520522,0.7623286
1.0,0.01489119,0.5358466,0.57060826
1.0,0.023354482,0.4166772,0.5873736
1.0,0.057973746,0.19830681,0.7500543
1.0,0.034867268,0.42417687,0.42546782
1.0,0.0021027657,0.6109164,0.76094556
1.0,0.055887554,0.27765536,0.7531693
1.0,0.038234524,0.39558682,0.56831825
1.0,0.017519765,0.2854535,0.7172901
1.0,0.101458736,0.3533321,0.650813
1.0,0.035625014,0.41800445,0.80737185
1.0,0.021835629,0.2508265,0.8191017
1.0,0.035356604,0.27481523,0.85426164
1.0,0.07507681,0.63455415,0.49904078
1.0,0.040823337,0.48912632,0.7321645
1.0,0.040824547,0.5488793,0.7524997
1.0,0.03337401,0.4978703,0.58084494
1.0,0.036662783,0.2960517,0.6543666
1.0,0.03170073,0.35686642,0.79918134
1.0,0.021622526,0.3470289,0.8760535
1.0,0.025301622,0.30989295,0.7287841
1.0,0.009694074,0.23231421,0.8092461
1.0,0.024160905,0.32696927,0.8441448
1.0,0.023835737,0.47526395,0.9169899
1.0,0.043630738,0.4413042,0.7453393
1.0,0.03848704,0.32358783,0.5589633
1.0,0.020362997,0.5225261,0.7425492
1.0,0.05540466,0.71616,0.8517504
1.0,0.034526616,0.2556226,0.7009291
1.0,0.032398313,0.37771037,0.62911797
1.0,0.024161104,0.34984857,0.8469416
1.0,0.032730505,0.71658754,0.6979573
1.0,0.024629606,0.21454862,0.6990081
1.0,0.031990115,0.6229385,0.7058248
1.0,0.033863485,0.5876006,0.86180353
1.0,0.015597863,0.36026406,0.78240824
1.0,0.0223988,0.44984806,0.84236
1.0,0.008659913,0.4952118,0.83615965
1.0,0.012538078,0.32122833,0.81944984
1.0,0.10086938,0.22188528,0.30353284
1.0,0.039111264,0.276482,0.69850457
1.0,0.013771872,0.5981876,0.7520548
1.0,0.013771868,0.1919026,0.9265818
1.0,0.056683645,0.41106233,0.3350408
1.0,0.025686799,0.4574746,0.5150056
1.0,0.029217985,0.3508493,0.65446365
1.0,0.02868469,0.521105,0.7544411
1.0,0.040093437,0.73044634,0.61635387
1.0,0.041415777,0.19502066,0.91679597
1.0,0.033956427,0.46497917,0.69895697
1.0,0.0066635692,0.27261046,0.80243593
1.0,0.019552663,0.5829281,0.7939425
1.0,0.04177705,0.27961582,0.65787446
1.0,0.043221194,0.39874795,0.7847157
1.0,0.022384018,0.8506345,0.5521896
1.0,0.036647033,0.5739421,0.6815643
1.0,0.01799337,0.20854047,0.8659569
1.0,0.025559427,0.44990617,0.50193214
1.0,0.088110425,0.29639736,0.33488125
1.0,0.008064682,0.39172512,0.709255
1.0,0.021980634,0.61959517,0.7331897
1.0,0.02809997,0.44255862,0.8322585
1.0,0.026419062,0.38372743,0.9152898
1.0,0.012066008,0.4474829,0.80993617
1.0,0.026570613,0.33024386,0.8043585
1.0,0.018001342,0.24875131,0.89137137
1.0,0.012066007,0.47356358,0.7790457
1.0,0.0102733895,0.53036964,0.6830426
1.0,0.018475603,0.3154253,0.93694085
1.0,0.02416091,0.40512443,0.9521849
1.0,0.012985482,0.41204512,0.9009064
1.0,0.03536435,0.31092283,0.8989682
1.0,0.07402887,0.75559044,0.49216545
1.0,0.027276024,0.4728684,0.7812506
1.0,0.013269807,0.34409785,0.9337098
1.0,0.012031689,0.22362019,0.86631435
1.0,0.027076667,0.7010487,0.85328686
1.0,0.02568349,0.27889144,0.7042223
1.0,0.03656873,0.22491999,0.76385283
1.0,0.021892786,0.74465424,0.7745898
1.0,0.049272675,0.6583633,0.781708
1.0,0.14654653,0.3640368,0.6401812
1.0,0.0075776936,0.48559484,0.87078184
1.0,0.07084726,0.75398844,0.5924877
1.0,0.048906103,0.54790777,0.597772
1.0,0.03756184,0.63108927,0.81765366
1.0,0.033276252,0.2922033,0.78293365
1.0,0.03197727,0.8188052,0.5340697
1.0,0.03795521,0.30473822,0.77651644
1.0,0.030098438,0.6583674,0.6370517
1.0,0.039872646,0.47743073,0.6888413
1.0,0.034785792,0.56561035,0.85710824
1.0,0.019204043,0.23604015,0.7754996
1.0,0.07974905,0.9045206,0.58450574
1.0,0.013771878,0.13013764,0.90382075
1.0,0.01843324,0.69784343,0.75055885
1.0,0.041874614,0.8572031,0.7490735
1.0,0.019771598,0.41774672,0.7437198
1.0,0.1355585,0.4141925,0.25261122
1.0,0.06752856,0.39192194,0.68181515
1.0,0.029217683,0.48515844,0.6953068
1.0,0.034115087,0.34383833,0.54073256
1.0,0.021860136,0.60348666,0.696836
1.0,0.03148743,0.2729535,0.7653366
1.0,0.011007599,0.14052656,0.8959601
1.0,0.01958383,0.39399752,0.7459848
1.0,0.022897411,0.39873493,0.7719634
1.0,0.048252918,0.49453437,0.41197377
1.0,0.017576236,0.44950116,0.7267611
1.0,0.013960733,0.36415178,0.80213654
1.0,0.07618759,0.9512013,0.62495756
1.0,0.022978434,0.8356962,0.7428942
1.0,0.018735696,0.6370476,0.62489885
1.0,0.015589183,0.24066706,0.8553848
1.0,0.025559425,0.8140761,0.6603856
1.0,0.036646377,0.44485056,0.6526435
1.0,0.019957092,0.6702444,0.67430484
1.0,0.03197424,0.3835593,0.6043277
1.0,0.04416078,0.3472609,0.7342639
1.0,0.027652752,0.4178497,0.7959724
1.0,0.024199557,0.4619646,0.5655298
1.0,0.018126436,0.5230187,0.61089075
1.0,0.02016972,0.91169906,0.6427605
1.0,0.042991824,0.67326397,0.7855731
1.0,0.0132698,0.27493954,0.9473761
1.0,0.044268932,0.9916539,0.441184
1.0,0.029755685,0.2103217,0.8223878
1.0,0.020967321,0.34787372,0.79167473
1.0,0.0129324095,0.21635735,0.84225243
1.0,0.016403774,0.41716594,0.831134
1.0,0.020741504,0.24400862,0.47180197
1.0,0.024609054,0.31856444,0.86767673
1.0,0.023308983,0.54993564,0.73173743
1.0,0.025400862,0.63523656,0.6552433
1.0,0.046405215,0.24229471,0.6236639
1.0,0.024199542,0.425081,0.6601546
1.0,0.018336397,0.54396015,0.7826154
1.0,0.021624183,0.22822168,0.81909955
1.0,0.026763937,0.46619904,0.8469434
1.0,0.040854774,0.8045409,0.6100246
1.0,0.11622673,0.47436804,0.47233608
1.0,0.21061157,0.3063076,0.57383347
1.0,0.021754362,0.48146576,0.5629839
1.0,0.024812028,0.45876074,0.5269562
1.0,0.035634853,0.26657552,0.79987246
1.0,0.15048683,0.9856872,0.6350697
1.0,0.011937065,0.5169378,0.8505099
1.0,0.017995093,0.35237375,0.77491534
1.0,0.016539585,0.4229653,0.8520851
1.0,0.010951744,0.3821489,0.67158866
1.0,0.022897404,0.41905347,0.8757908
1.0,0.03827216,0.50970554,0.7767037
1.0,0.042416956,0.36080816,0.4271178
1.0,0.036910467,0.25036126,0.63508785
1.0,0.011761226,0.8547418,0.560014
1.0,0.03071974,0.3309678,0.84181315
1.0,0.03238049,0.7200588,0.7018136
1.0,0.08863002,0.36234406,0.8830073
1.0,0.008274673,0.14966218,0.84471905
1.0,0.023186058,0.38133487,0.7930813
1.0,0.020209083,0.32316387,0.59813446
1.0,0.043230105,0.18782173,0.8396066
1.0,0.0103030745,0.73210764,0.82823753
