groundtruth,dist_orig,dist_noisy,robustness_score
1.0,0.0110020265,0.3114489,0.8719609
1.0,0.029393883,0.897889,0.6997285
1.0,0.050305586,0.66763127,0.67220503
1.0,0.031869054,0.38044718,0.94079566
1.0,0.0093133,0.37849596,0.89508295
1.0,0.0086584,0.53255695,0.75907874
1.0,0.018745992,0.12749338,0.9298307
1.0,0.035514828,0.27637967,0.90864253
1.0,0.016882198,0.13456143,0.96775556
1.0,0.025888743,0.5557192,0.73875344
1.0,0.023350064,0.22103065,0.9731965
1.0,0.34239775,0.7204,0.41383585
1.0,0.029682504,0.6527695,0.7671876
1.0,0.0965486,0.38345638,0.85337937
1.0,0.01080387,0.46192282,0.71172535
1.0,0.024713535,0.78907764,0.8154558
1.0,0.030011749,0.42136002,0.8204018
1.0,0.024395341,0.8839395,0.7812991
1.0,0.02188917,0.24372901,0.85509264
1.0,0.0205963,0.4113628,0.75401413
1.0,0.0143403,0.42718562,0.8957931
1.0,0.039850984,0.23699114,0.94201255
1.0,0.030721383,0.4914922,0.8565074
1.0,0.018658021,0.2217642,0.96157265
1.0,0.12701707,0.5748129,0.63530743
1.0,0.02121776,0.3851294,0.82461214
1.0,0.040758,0.3268113,0.8358227
1.0,0.018961508,0.6916384,0.8262336
1.0,0.019321369,0.51303655,0.82178587
1.0,0.012966209,0.26695102,0.94270134
1.0,0.043221198,0.36395073,0.76884866
1.0,0.029232955,0.13255246,0.75894547
1.0,0.07255022,0.4925795,0.4917936
1.0,0.061415635,0.7910035,0.6810594
1.0,0.012008135,0.53661513,0.76434916
1.0,0.0436636,0.42534652,0.7307186
1.0,0.03428877,0.5425143,0.85318685
1.0,0.042322483,0.76107657,0.4298976
1.0,0.01030308,0.14800452,0.94889617
1.0,0.024713531,0.48714644,0.94426405
1.0,0.1339238,0.63580287,0.59271073
1.0,0.02744867,0.5981849,0.7867177
1.0,0.029697338,0.3252672,0.87596655
1.0,0.012195054,0.20109765,0.9248109
1.0,0.014891196,0.29672125,0.75447565
1.0,0.02335449,0.38503927,0.7834315
1.0,0.05797373,0.26412913,0.71206224
1.0,0.034867276,0.43029287,0.7201612
1.0,0.0021027708,0.5422301,0.8734951
1.0,0.055887543,0.24211122,0.77664363
1.0,0.038234536,0.43271804,0.8454159
1.0,0.017519765,0.5535171,0.85642654
1.0,0.101458736,0.51967347,0.5111221
1.0,0.035625026,0.1680853,0.9710815
1.0,0.021835642,0.25765884,0.8714225
1.0,0.035356592,0.4195999,0.85517305
1.0,0.075076796,1.0091971,0.69973934
1.0,0.040823318,0.34098032,0.78196144
1.0,0.04082454,0.33851886,0.6732413
1.0,0.033374,0.5218034,0.74860704
1.0,0.036662787,0.34183455,0.6861284
1.0,0.03170072,0.53343034,0.8814097
1.0,0.021622531,0.28976324,0.8661579
1.0,0.025301624,0.23138839,0.9298636
1.0,0.009694056,0.3315097,0.9520763
1.0,0.024160907,0.2841023,0.8548967
1.0,0.02383573,0.13240297,0.8935892
1.0,0.04363074,0.48043236,0.80367196
1.0,0.038487036,0.33961567,0.80424035
1.0,0.020362992,0.27190325,0.81886804
1.0,0.055404667,0.57558614,0.9015595
1.0,0.03452661,0.5473526,0.81381345
1.0,0.032398324,0.44821173,0.7686491
1.0,0.024161117,0.13516591,0.9148554
1.0,0.03273047,0.27271017,0.94366527
1.0,0.024629608,0.36185256,0.78879464
1.0,0.031990103,0.562177,0.6487987
1.0,0.033863496,0.41479906,0.81327236
1.0,0.015597853,0.4799811,0.8420613
1.0,0.022398813,0.21009044,0.94836414
1.0,0.008659921,0.332093,0.87548494
1.0,0.012538082,0.3607488,0.833113
1.0,0.10086937,0.34944242,0.43075186
1.0,0.03911126,0.56938577,0.8622302
1.0,0.013771867,0.5710508,0.90115494
1.0,0.013771863,0.24605156,0.9250672
1.0,0.056683622,0.5601399,0.53846896
1.0,0.025686814,0.3987427,0.9185138
1.0,0.02921798,0.21027708,0.959906
1.0,0.028684689,0.4097414,0.6815207
1.0,0.040093433,0.63505864,0.74615496
1.0,0.041415773,0.18476786,0.9836318
1.0,0.033956416,0.3844072,0.76330227
1.0,0.006663564,0.3185603,0.8119302
1.0,0.019552665,0.365631,0.9529134
1.0,0.041777052,0.22263296,0.783689
1.0,0.043221187,0.47200865,0.8442344
1.0,0.02238402,0.20301063,0.8597028
1.0,0.03664703,0.3320933,0.53001535
1.0,0.017993372,0.40480068,0.8900481
1.0,0.025559438,0.5231766,0.722731
