groundtruth,dist_orig,dist_noisy,robustness_score
1.0,0.0031174787,0.0066045863,0.9999796
1.0,0.012226828,0.0175342,0.99991643
1.0,0.02158257,0.08132142,0.9984714
1.0,0.0065995483,0.026164372,0.99986136
1.0,0.0031195984,0.0053543984,0.99996233
1.0,0.0025003776,0.0045818,0.99995685
1.0,0.008701972,0.012462833,0.9999497
1.0,0.0064233406,0.020740762,0.9998554
1.0,0.006868547,0.0078061325,0.9999118
1.0,0.009433815,0.010869489,0.99995863
1.0,0.005221256,0.0076281647,0.99998105
1.0,0.5563415,0.58797264,0.97588086
1.0,0.008002207,0.00800368,0.9999505
1.0,0.0044696126,0.009001987,0.9999706
1.0,0.002694212,0.0055054207,0.99998355
1.0,0.004310282,0.014747539,0.99997866
1.0,0.007952155,0.010897831,0.99997544
1.0,0.007952517,0.010619604,0.99996316
1.0,0.005946516,0.011245945,0.9999668
1.0,0.005802733,0.01399546,0.99990976
1.0,0.0054226555,0.00736355,0.9999727
1.0,0.004849376,0.007921206,0.99997914
1.0,0.0068782223,0.009638675,0.999971
1.0,0.0055091716,0.005695239,0.99995565
1.0,0.01793891,0.082569115,0.9984551
1.0,0.0063425805,0.008055592,0.99997956
1.0,0.0072028227,0.012218342,0.9999793
1.0,0.0038319568,0.0071255257,0.9999618
1.0,0.0034970557,0.0050421865,0.9999096
1.0,0.0062736426,0.011363554,0.99996626
1.0,0.0055082915,0.0059188926,0.9999294
1.0,0.005810627,0.010555352,0.99997663
1.0,0.013383251,1.9970362,0.0025630295
1.0,0.011679411,0.013906626,0.999997
1.0,0.009307537,0.010061904,0.9999351
1.0,0.00915583,0.013010931,0.99996626
1.0,0.005423338,0.010454009,0.9999629
1.0,0.010362417,0.012339397,0.9999781
1.0,0.003208017,0.006453094,0.9999298
1.0,0.004310283,0.008075798,0.9999925
1.0,0.010771914,0.038851913,0.9996589
1.0,0.0030815322,0.00913512,0.9999714
1.0,0.0075909323,0.0083274,0.9999603
1.0,0.0040696766,0.0077498066,0.99993217
1.0,0.006089895,0.011023634,0.999948
1.0,0.010473845,0.006293772,0.99992454
1.0,0.01524505,0.01975657,0.9999887
1.0,0.011665251,0.026578993,0.9996743
1.0,0.0012428254,0.006045415,0.9999589
1.0,0.010283771,0.011556655,0.9999815
1.0,0.005121906,0.008579358,0.9999811
1.0,0.006922016,0.009130963,0.99996996
1.0,0.02092029,0.036067236,0.99957436
1.0,0.005719546,0.0054689934,0.99999595
1.0,0.0066526528,0.0059094997,0.99997264
1.0,0.0068340166,0.024747971,0.9998579
1.0,0.011694444,0.021339422,0.99995244
1.0,0.0047380463,0.011308985,0.9999215
1.0,0.0077472357,0.010325219,0.99995434
1.0,0.0069813672,0.017257068,0.99981785
1.0,0.0055154487,0.01356529,0.99992967
1.0,0.00490755,0.010098056,0.9999653
1.0,0.0048945956,0.004656826,0.9999608
1.0,0.0088585345,0.008516329,0.99998116
1.0,0.001957535,0.0052900254,0.9999827
1.0,0.0076896,0.008423599,0.9999784
1.0,0.011443092,0.0110491635,0.9999251
1.0,0.0066345204,0.015886199,0.9998543
1.0,0.010842551,0.015141226,0.99991447
1.0,0.005075685,0.010645286,0.9999687
1.0,0.005902985,0.007834561,0.9999794
1.0,0.008530072,0.00688143,0.9999646
1.0,0.010793595,0.01468123,0.99994135
1.0,0.0076867235,0.00821468,0.9999751
1.0,0.005441439,0.005127715,0.9999721
1.0,0.011518414,0.023633631,0.9999164
1.0,0.013694293,0.018961865,0.999987
1.0,0.006262523,0.00842437,0.99995553
